Date,Opponent,Home/Away,Result,Marlins_Win
2025-07-01,Atlanta Braves,Home,Loss,No
2025-07-02,Atlanta Braves,Home,Win,Yes
2025-07-03,Atlanta Braves,Home,Win,Yes
2025-07-04,New York Mets,Away,Loss,No
2025-07-05,New York Mets,Away,Loss,No
2025-07-06,New York Mets,Away,Win,Yes
2025-07-07,Philadelphia Phillies,Home,Loss,No
2025-07-08,Philadelphia Phillies,Home,Win,Yes
2025-07-09,Philadelphia Phillies,Home,Win,Yes
2025-07-10,Washington Nationals,Away,Loss,No
2025-07-11,Washington Nationals,Away,Win,Yes
2025-07-12,Washington Nationals,Away,Win,Yes
2025-07-13,Washington Nationals,Away,Loss,No
2025-07-14,San Diego Padres,Home,Win,Yes
2025-07-15,San Diego Padres,Home,Loss,No
2025-07-16,San Diego Padres,Home,Win,Yes
2025-07-17,Tampa Bay Rays,Away,Win,Yes
2025-07-18,Tampa Bay Rays,Away,Loss,No
2025-07-19,Tampa Bay Rays,Away,Loss,No
2025-07-20,Tampa Bay Rays,Away,Win,Yes
2025-07-21,Boston Red Sox,Home,Win,Yes
2025-07-22,Boston Red Sox,Home,Loss,No
2025-07-23,Boston Red Sox,Home,Win,Yes
2025-07-24,Chicago Cubs,Away,Loss,No
2025-07-25,Chicago Cubs,Away,Win,Yes
2025-07-26,Chicago Cubs,Away,Loss,No
2025-07-27,Chicago Cubs,Away,Win,Yes
2025-07-28,St. Louis Cardinals,Home,Loss,No
